name,ipadd4,ipadd6,cluster,portgroup,privnet,mac,dhcpfqdn
es-lgr-lpng2zz231-01,82.223.186.66,2001:ba0:181f:8000::135,por2-vc06-cl01,vmvlan331,privnet3799,,por2-dhcp7.por-ngcs.lan
es-lgr-lpng2zz231-02,82.223.186.67,2001:ba0:181f:8000::136,por2-vc06-cl02,vmvlan331,privnet3799,,por2-dhcp7.por-ngcs.lan
