"name;ipadd4;ipadd6;cluster;portgroup;privnet;mac;dhcpfqdn"
"de-rhr-bangdzz02-01;212.227.42.84;2001:8d8:181f:8000::4a;internal;hypinfravlan195;dummy;;"
"de-rhr-bangdzz02-02;212.227.42.85;2001:8d8:181f:8000::4b;internal;hypinfravlan195;dummy;;"
